date,value,lugar,date2
2015,19,Lugo Aeropuerto,2015
2016,21,Lugo Aeropuerto,2016
2017,11,Lugo Aeropuerto,2017
2018,15,Lugo Aeropuerto,2018
1950,90,Madrid - Cuatro Vientos,1950
1951,62,Madrid - Cuatro Vientos,1951
1952,58,Madrid - Cuatro Vientos,1952
1953,81,Madrid - Cuatro Vientos,1953
1954,71,Madrid - Cuatro Vientos,1954
1955,72,Madrid - Cuatro Vientos,1955
1956,41,Madrid - Cuatro Vientos,1956
1957,69,Madrid - Cuatro Vientos,1957
1958,63,Madrid - Cuatro Vientos,1958
1959,50,Madrid - Cuatro Vientos,1959
1960,62,Madrid - Cuatro Vientos,1960
1961,87,Madrid - Cuatro Vientos,1961
1962,86,Madrid - Cuatro Vientos,1962
1963,53,Madrid - Cuatro Vientos,1963
1964,69,Madrid - Cuatro Vientos,1964
1965,63,Madrid - Cuatro Vientos,1965
1966,67,Madrid - Cuatro Vientos,1966
1967,59,Madrid - Cuatro Vientos,1967
1968,59,Madrid - Cuatro Vientos,1968
1969,50,Madrid - Cuatro Vientos,1969
1970,75,Madrid - Cuatro Vientos,1970
1971,49,Madrid - Cuatro Vientos,1971
1972,49,Madrid - Cuatro Vientos,1972
1973,72,Madrid - Cuatro Vientos,1973
1974,57,Madrid - Cuatro Vientos,1974
1975,57,Madrid - Cuatro Vientos,1975
1976,50,Madrid - Cuatro Vientos,1976
1977,44,Madrid - Cuatro Vientos,1977
1978,67,Madrid - Cuatro Vientos,1978
1979,60,Madrid - Cuatro Vientos,1979
1980,73,Madrid - Cuatro Vientos,1980
1981,71,Madrid - Cuatro Vientos,1981
1982,58,Madrid - Cuatro Vientos,1982
1983,61,Madrid - Cuatro Vientos,1983
1984,62,Madrid - Cuatro Vientos,1984
1985,79,Madrid - Cuatro Vientos,1985
1986,63,Madrid - Cuatro Vientos,1986
1987,68,Madrid - Cuatro Vientos,1987
1988,64,Madrid - Cuatro Vientos,1988
1989,71,Madrid - Cuatro Vientos,1989
1990,74,Madrid - Cuatro Vientos,1990
1991,81,Madrid - Cuatro Vientos,1991
1992,62,Madrid - Cuatro Vientos,1992
1993,56,Madrid - Cuatro Vientos,1993
1994,78,Madrid - Cuatro Vientos,1994
1995,61,Madrid - Cuatro Vientos,1995
1996,60,Madrid - Cuatro Vientos,1996
1997,52,Madrid - Cuatro Vientos,1997
1998,76,Madrid - Cuatro Vientos,1998
1999,75,Madrid - Cuatro Vientos,1999
2000,77,Madrid - Cuatro Vientos,2000
2001,83,Madrid - Cuatro Vientos,2001
2002,74,Madrid - Cuatro Vientos,2002
2003,90,Madrid - Cuatro Vientos,2003
2004,87,Madrid - Cuatro Vientos,2004
2005,86,Madrid - Cuatro Vientos,2005
2006,86,Madrid - Cuatro Vientos,2006
2007,56,Madrid - Cuatro Vientos,2007
2008,62,Madrid - Cuatro Vientos,2008
2009,90,Madrid - Cuatro Vientos,2009
2010,82,Madrid - Cuatro Vientos,2010
2011,82,Madrid - Cuatro Vientos,2011
2012,87,Madrid - Cuatro Vientos,2012
2013,82,Madrid - Cuatro Vientos,2013
2014,66,Madrid - Cuatro Vientos,2014
2015,77,Madrid - Cuatro Vientos,2015
2016,92,Madrid - Cuatro Vientos,2016
2017,81,Madrid - Cuatro Vientos,2017
2018,90,Madrid - Cuatro Vientos,2018
1970,77,Madrid Aeropuerto,1970
1971,57,Madrid Aeropuerto,1971
1972,54,Madrid Aeropuerto,1972
1973,63,Madrid Aeropuerto,1973
1974,62,Madrid Aeropuerto,1974
1975,61,Madrid Aeropuerto,1975
1976,57,Madrid Aeropuerto,1976
1977,51,Madrid Aeropuerto,1977
1978,69,Madrid Aeropuerto,1978
1979,68,Madrid Aeropuerto,1979
1980,79,Madrid Aeropuerto,1980
1981,77,Madrid Aeropuerto,1981
1982,66,Madrid Aeropuerto,1982
1983,81,Madrid Aeropuerto,1983
1984,64,Madrid Aeropuerto,1984
1985,85,Madrid Aeropuerto,1985
1986,72,Madrid Aeropuerto,1986
1987,81,Madrid Aeropuerto,1987
1988,68,Madrid Aeropuerto,1988
1989,81,Madrid Aeropuerto,1989
1990,93,Madrid Aeropuerto,1990
1991,89,Madrid Aeropuerto,1991
1992,69,Madrid Aeropuerto,1992
1993,61,Madrid Aeropuerto,1993
1994,83,Madrid Aeropuerto,1994
1995,72,Madrid Aeropuerto,1995
1996,73,Madrid Aeropuerto,1996
1997,63,Madrid Aeropuerto,1997
1998,81,Madrid Aeropuerto,1998
1999,71,Madrid Aeropuerto,1999
2000,78,Madrid Aeropuerto,2000
2001,68,Madrid Aeropuerto,2001
2002,68,Madrid Aeropuerto,2002
2003,80,Madrid Aeropuerto,2003
2004,84,Madrid Aeropuerto,2004
2005,96,Madrid Aeropuerto,2005
2006,96,Madrid Aeropuerto,2006
2007,69,Madrid Aeropuerto,2007
2008,79,Madrid Aeropuerto,2008
2009,93,Madrid Aeropuerto,2009
2010,81,Madrid Aeropuerto,2010
2011,85,Madrid Aeropuerto,2011
2012,91,Madrid Aeropuerto,2012
2013,95,Madrid Aeropuerto,2013
2014,81,Madrid Aeropuerto,2014
2015,83,Madrid Aeropuerto,2015
2016,89,Madrid Aeropuerto,2016
2017,82,Madrid Aeropuerto,2017
2018,91,Madrid Aeropuerto,2018
1958,64,Madridejos,1958
1959,78,Madridejos,1959
1966,64,Madridejos,1966
1967,86,Madridejos,1967
1968,91,Madridejos,1968
1969,71,Madridejos,1969
1970,110,Madridejos,1970
1971,86,Madridejos,1971
1972,91,Madridejos,1972
1973,90,Madridejos,1973
1974,57,Madridejos,1974
1975,64,Madridejos,1975
1976,63,Madridejos,1976
1977,46,Madridejos,1977
1978,60,Madridejos,1978
1979,69,Madridejos,1979
1980,79,Madridejos,1980
1981,96,Madridejos,1981
1982,92,Madridejos,1982
1983,105,Madridejos,1983
1984,99,Madridejos,1984
1985,109,Madridejos,1985
1986,96,Madridejos,1986
1987,94,Madridejos,1987
1988,82,Madridejos,1988
1989,90,Madridejos,1989
1990,107,Madridejos,1990
1991,103,Madridejos,1991
1992,77,Madridejos,1992
1993,71,Madridejos,1993
1994,99,Madridejos,1994
1995,84,Madridejos,1995
1996,98,Madridejos,1996
2000,56,Madridejos,2000
2001,62,Madridejos,2001
2002,72,Madridejos,2002
2003,32,Madridejos,2003
2004,56,Madridejos,2004
2005,24,Madridejos,2005
2010,72,Madridejos,2010
2013,56,Madridejos,2013
2014,76,Madridejos,2014
2016,72,Madridejos,2016
2017,60,Madridejos,2017
2018,72,Madridejos,2018
1950,56,Málaga Aeropuerto,1950
1951,30,Málaga Aeropuerto,1951
1952,54,Málaga Aeropuerto,1952
1953,31,Málaga Aeropuerto,1953
1954,30,Málaga Aeropuerto,1954
1955,44,Málaga Aeropuerto,1955
1956,22,Málaga Aeropuerto,1956
1957,33,Málaga Aeropuerto,1957
1958,34,Málaga Aeropuerto,1958
1959,33,Málaga Aeropuerto,1959
1960,33,Málaga Aeropuerto,1960
1962,12,Málaga Aeropuerto,1962
1963,5,Málaga Aeropuerto,1963
1964,44,Málaga Aeropuerto,1964
1965,39,Málaga Aeropuerto,1965
1966,20,Málaga Aeropuerto,1966
1967,43,Málaga Aeropuerto,1967
1968,42,Málaga Aeropuerto,1968
1969,20,Málaga Aeropuerto,1969
1970,38,Málaga Aeropuerto,1970
1971,38,Málaga Aeropuerto,1971
1972,25,Málaga Aeropuerto,1972
1973,22,Málaga Aeropuerto,1973
1974,32,Málaga Aeropuerto,1974
1975,42,Málaga Aeropuerto,1975
1976,39,Málaga Aeropuerto,1976
1977,28,Málaga Aeropuerto,1977
1978,36,Málaga Aeropuerto,1978
1979,27,Málaga Aeropuerto,1979
1980,33,Málaga Aeropuerto,1980
1981,27,Málaga Aeropuerto,1981
1982,40,Málaga Aeropuerto,1982
1983,42,Málaga Aeropuerto,1983
1984,34,Málaga Aeropuerto,1984
1990,52,Málaga Aeropuerto,1990
1991,55,Málaga Aeropuerto,1991
1992,34,Málaga Aeropuerto,1992
1993,36,Málaga Aeropuerto,1993
1994,43,Málaga Aeropuerto,1994
1995,56,Málaga Aeropuerto,1995
1996,32,Málaga Aeropuerto,1996
1997,44,Málaga Aeropuerto,1997
1998,49,Málaga Aeropuerto,1998
1999,44,Málaga Aeropuerto,1999
2000,38,Málaga Aeropuerto,2000
2001,54,Málaga Aeropuerto,2001
2002,45,Málaga Aeropuerto,2002
2003,75,Málaga Aeropuerto,2003
2004,54,Málaga Aeropuerto,2004
2005,54,Málaga Aeropuerto,2005
2006,57,Málaga Aeropuerto,2006
2007,51,Málaga Aeropuerto,2007
2008,52,Málaga Aeropuerto,2008
2009,58,Málaga Aeropuerto,2009
2010,57,Málaga Aeropuerto,2010
2011,49,Málaga Aeropuerto,2011
2012,56,Málaga Aeropuerto,2012
2013,57,Málaga Aeropuerto,2013
2014,75,Málaga Aeropuerto,2014
2015,75,Málaga Aeropuerto,2015
2016,48,Málaga Aeropuerto,2016
2017,58,Málaga Aeropuerto,2017
2018,66,Málaga Aeropuerto,2018
1970,1,Melilla,1970
1971,16,Melilla,1971
1972,5,Melilla,1972
1973,13,Melilla,1973
1974,10,Melilla,1974
1975,25,Melilla,1975
1976,18,Melilla,1976
1977,3,Melilla,1977
1978,9,Melilla,1978
1979,13,Melilla,1979
1980,25,Melilla,1980
1981,11,Melilla,1981
1982,16,Melilla,1982
1983,13,Melilla,1983
1984,13,Melilla,1984
1985,13,Melilla,1985
1986,22,Melilla,1986
1987,20,Melilla,1987
1988,43,Melilla,1988
1989,65,Melilla,1989
1990,77,Melilla,1990
1991,61,Melilla,1991
1992,44,Melilla,1992
1993,30,Melilla,1993
1994,42,Melilla,1994
1995,23,Melilla,1995
1996,13,Melilla,1996
1997,0,Melilla,1997
1998,15,Melilla,1998
1999,24,Melilla,1999
2000,18,Melilla,2000
2001,26,Melilla,2001
2002,18,Melilla,2002
2003,48,Melilla,2003
2004,30,Melilla,2004
2005,21,Melilla,2005
2006,15,Melilla,2006
2007,21,Melilla,2007
2008,38,Melilla,2008
2009,35,Melilla,2009
2010,25,Melilla,2010
2011,30,Melilla,2011
2012,34,Melilla,2012
2013,6,Melilla,2013
2014,24,Melilla,2014
2015,38,Melilla,2015
2016,26,Melilla,2016
2017,32,Melilla,2017
2018,23,Melilla,2018
1985,23,Menorca - Aeropuerto,1985
1986,24,Menorca - Aeropuerto,1986
1987,40,Menorca - Aeropuerto,1987
1988,32,Menorca - Aeropuerto,1988
1989,34,Menorca - Aeropuerto,1989
1990,31,Menorca - Aeropuerto,1990
1991,32,Menorca - Aeropuerto,1991
1992,21,Menorca - Aeropuerto,1992
1993,18,Menorca - Aeropuerto,1993
1994,50,Menorca - Aeropuerto,1994
1995,23,Menorca - Aeropuerto,1995
1996,14,Menorca - Aeropuerto,1996
1997,10,Menorca - Aeropuerto,1997
1998,26,Menorca - Aeropuerto,1998
1999,18,Menorca - Aeropuerto,1999
2000,18,Menorca - Aeropuerto,2000
2001,27,Menorca - Aeropuerto,2001
2002,12,Menorca - Aeropuerto,2002
2003,64,Menorca - Aeropuerto,2003
2004,26,Menorca - Aeropuerto,2004
2005,29,Menorca - Aeropuerto,2005
2006,40,Menorca - Aeropuerto,2006
2007,15,Menorca - Aeropuerto,2007
2008,16,Menorca - Aeropuerto,2008
2009,52,Menorca - Aeropuerto,2009
2010,23,Menorca - Aeropuerto,2010
2011,17,Menorca - Aeropuerto,2011
2012,38,Menorca - Aeropuerto,2012
2013,42,Menorca - Aeropuerto,2013
2014,41,Menorca - Aeropuerto,2014
2015,56,Menorca - Aeropuerto,2015
2016,54,Menorca - Aeropuerto,2016
2017,60,Menorca - Aeropuerto,2017
2018,51,Menorca - Aeropuerto,2018
1989,28,Mérida,1989
1990,73,Mérida,1990
1991,21,Mérida,1991
1992,71,Mérida,1992
1993,36,Mérida,1993
1994,62,Mérida,1994
1995,63,Mérida,1995
1997,44,Mérida,1997
1998,74,Mérida,1998
1999,78,Mérida,1999
2000,94,Mérida,2000
2001,68,Mérida,2001
2002,84,Mérida,2002
2003,100,Mérida,2003
2004,100,Mérida,2004
2005,100,Mérida,2005
2006,66,Mérida,2006
2007,32,Mérida,2007
2008,18,Mérida,2008
2009,95,Mérida,2009
2010,63,Mérida,2010
2011,96,Mérida,2011
2012,98,Mérida,2012
2013,73,Mérida,2013
2014,83,Mérida,2014
2015,101,Mérida,2015
2016,110,Mérida,2016
2017,110,Mérida,2017
2018,103,Mérida,2018
1983,1,Monte Iroite,1983
1984,2,Monte Iroite,1984
1985,3,Monte Iroite,1985
1986,0,Monte Iroite,1986
1987,5,Monte Iroite,1987
1988,4,Monte Iroite,1988
1989,2,Monte Iroite,1989
1990,9,Monte Iroite,1990
1991,4,Monte Iroite,1991
1992,3,Monte Iroite,1992
1993,7,Monte Iroite,1993
1994,1,Monte Iroite,1994
1995,2,Monte Iroite,1995
1996,3,Monte Iroite,1996
1997,0,Monte Iroite,1997
1998,2,Monte Iroite,1998
1999,0,Monte Iroite,1999
2000,0,Monte Iroite,2000
2001,1,Monte Iroite,2001
2002,0,Monte Iroite,2002
2003,3,Monte Iroite,2003
2005,0,Monte Iroite,2005
2006,7,Monte Iroite,2006
2007,2,Monte Iroite,2007
2008,0,Monte Iroite,2008
2010,6,Monte Iroite,2010
2012,3,Monte Iroite,2012
2013,6,Monte Iroite,2013
2014,1,Monte Iroite,2014
2015,4,Monte Iroite,2015
2017,5,Monte Iroite,2017
1956,90,Morón De La Frontera,1956
1957,93,Morón De La Frontera,1957
1958,91,Morón De La Frontera,1958
1959,88,Morón De La Frontera,1959
1960,99,Morón De La Frontera,1960
1961,105,Morón De La Frontera,1961
1962,98,Morón De La Frontera,1962
1963,89,Morón De La Frontera,1963
1964,99,Morón De La Frontera,1964
1965,89,Morón De La Frontera,1965
1966,86,Morón De La Frontera,1966
1967,92,Morón De La Frontera,1967
1968,89,Morón De La Frontera,1968
1969,73,Morón De La Frontera,1969
1970,96,Morón De La Frontera,1970
1971,78,Morón De La Frontera,1971
1972,59,Morón De La Frontera,1972
1973,86,Morón De La Frontera,1973
1974,91,Morón De La Frontera,1974
1975,87,Morón De La Frontera,1975
1976,82,Morón De La Frontera,1976
1977,67,Morón De La Frontera,1977
1978,88,Morón De La Frontera,1978
1979,86,Morón De La Frontera,1979
1980,99,Morón De La Frontera,1980
1981,96,Morón De La Frontera,1981
1982,82,Morón De La Frontera,1982
1983,87,Morón De La Frontera,1983
1984,96,Morón De La Frontera,1984
1985,102,Morón De La Frontera,1985
1986,90,Morón De La Frontera,1986
1987,87,Morón De La Frontera,1987
1988,80,Morón De La Frontera,1988
1989,94,Morón De La Frontera,1989
1990,98,Morón De La Frontera,1990
1991,97,Morón De La Frontera,1991
1992,81,Morón De La Frontera,1992
1993,79,Morón De La Frontera,1993
1994,101,Morón De La Frontera,1994
1995,75,Morón De La Frontera,1995
1996,88,Morón De La Frontera,1996
1997,77,Morón De La Frontera,1997
1998,92,Morón De La Frontera,1998
1999,86,Morón De La Frontera,1999
2000,105,Morón De La Frontera,2000
2001,95,Morón De La Frontera,2001
2002,78,Morón De La Frontera,2002
2003,102,Morón De La Frontera,2003
2004,101,Morón De La Frontera,2004
2005,99,Morón De La Frontera,2005
2006,92,Morón De La Frontera,2006
2007,92,Morón De La Frontera,2007
2008,94,Morón De La Frontera,2008
2009,99,Morón De La Frontera,2009
2010,97,Morón De La Frontera,2010
2011,104,Morón De La Frontera,2011
2012,107,Morón De La Frontera,2012
2013,101,Morón De La Frontera,2013
2014,86,Morón De La Frontera,2014
2015,100,Morón De La Frontera,2015
2016,108,Morón De La Frontera,2016
2017,105,Morón De La Frontera,2017
2018,96,Morón De La Frontera,2018
1984,88,Murcia,1984
1985,93,Murcia,1985
1986,99,Murcia,1986
1987,105,Murcia,1987
1988,91,Murcia,1988
1989,91,Murcia,1989
1990,106,Murcia,1990
1991,100,Murcia,1991
1992,84,Murcia,1992
1993,87,Murcia,1993
1994,97,Murcia,1994
1995,83,Murcia,1995
1996,77,Murcia,1996
1997,81,Murcia,1997
1998,102,Murcia,1998
1999,104,Murcia,1999
2000,91,Murcia,2000
2001,100,Murcia,2001
2002,94,Murcia,2002
2003,108,Murcia,2003
2004,103,Murcia,2004
2005,97,Murcia,2005
2006,103,Murcia,2006
2007,84,Murcia,2007
2008,98,Murcia,2008
2009,106,Murcia,2009
2010,95,Murcia,2010
2011,103,Murcia,2011
2012,107,Murcia,2012
2013,98,Murcia,2013
2014,105,Murcia,2014
2015,105,Murcia,2015
2016,113,Murcia,2016
2017,109,Murcia,2017
2018,107,Murcia,2018
1972,19,Ourense,1972
1973,44,Ourense,1973
1974,43,Ourense,1974
1975,41,Ourense,1975
1976,67,Ourense,1976
1977,8,Ourense,1977
1978,35,Ourense,1978
1979,35,Ourense,1979
1980,18,Ourense,1980
1981,43,Ourense,1981
1982,27,Ourense,1982
1983,33,Ourense,1983
1984,40,Ourense,1984
1985,60,Ourense,1985
1986,42,Ourense,1986
1987,57,Ourense,1987
1988,47,Ourense,1988
1989,67,Ourense,1989
1990,66,Ourense,1990
1991,59,Ourense,1991
1992,38,Ourense,1992
1993,44,Ourense,1993
1994,51,Ourense,1994
1995,50,Ourense,1995
1996,51,Ourense,1996
1997,50,Ourense,1997
1998,60,Ourense,1998
1999,55,Ourense,1999
2000,51,Ourense,2000
2001,58,Ourense,2001
2002,50,Ourense,2002
2003,61,Ourense,2003
2004,65,Ourense,2004
2005,65,Ourense,2005
2006,76,Ourense,2006
2007,47,Ourense,2007
2008,40,Ourense,2008
2009,56,Ourense,2009
2010,77,Ourense,2010
2011,57,Ourense,2011
2012,49,Ourense,2012
2013,73,Ourense,2013
2014,49,Ourense,2014
2015,69,Ourense,2015
2016,76,Ourense,2016
2017,62,Ourense,2017
2018,67,Ourense,2018
1972,0,Oviedo,1972
1973,2,Oviedo,1973
1974,0,Oviedo,1974
1975,2,Oviedo,1975
1976,5,Oviedo,1976
1977,1,Oviedo,1977
1978,1,Oviedo,1978
1979,0,Oviedo,1979
1980,3,Oviedo,1980
1981,3,Oviedo,1981
1982,4,Oviedo,1982
1983,4,Oviedo,1983
1984,3,Oviedo,1984
1985,4,Oviedo,1985
1986,1,Oviedo,1986
1987,7,Oviedo,1987
1988,2,Oviedo,1988
1989,3,Oviedo,1989
1990,8,Oviedo,1990
1991,3,Oviedo,1991
1992,1,Oviedo,1992
1993,5,Oviedo,1993
1994,1,Oviedo,1994
1995,2,Oviedo,1995
1996,0,Oviedo,1996
1997,0,Oviedo,1997
1998,5,Oviedo,1998
1999,1,Oviedo,1999
2000,5,Oviedo,2000
2001,4,Oviedo,2001
2002,0,Oviedo,2002
2003,13,Oviedo,2003
2004,1,Oviedo,2004
2005,5,Oviedo,2005
2006,7,Oviedo,2006
2007,2,Oviedo,2007
2008,0,Oviedo,2008
2009,3,Oviedo,2009
2010,2,Oviedo,2010
2011,3,Oviedo,2011
2012,7,Oviedo,2012
2012,6,Oviedo,2012
2013,5,Oviedo,2013
2014,0,Oviedo,2014
2015,4,Oviedo,2015
2016,5,Oviedo,2016
2017,6,Oviedo,2017
2018,3,Oviedo,2018
1985,56,Palma - Aeropuerto,1985
1986,57,Palma - Aeropuerto,1986
1987,77,Palma - Aeropuerto,1987
1988,58,Palma - Aeropuerto,1988
1989,61,Palma - Aeropuerto,1989
1990,60,Palma - Aeropuerto,1990
1991,67,Palma - Aeropuerto,1991
1992,52,Palma - Aeropuerto,1992
1993,44,Palma - Aeropuerto,1993
1994,73,Palma - Aeropuerto,1994
1995,52,Palma - Aeropuerto,1995
1996,40,Palma - Aeropuerto,1996
1997,54,Palma - Aeropuerto,1997
1998,66,Palma - Aeropuerto,1998
1999,77,Palma - Aeropuerto,1999
2000,62,Palma - Aeropuerto,2000
2001,64,Palma - Aeropuerto,2001
2002,48,Palma - Aeropuerto,2002
2003,91,Palma - Aeropuerto,2003
2004,72,Palma - Aeropuerto,2004
2005,65,Palma - Aeropuerto,2005
2006,68,Palma - Aeropuerto,2006
2007,37,Palma - Aeropuerto,2007
2008,51,Palma - Aeropuerto,2008
2009,70,Palma - Aeropuerto,2009
2010,45,Palma - Aeropuerto,2010
2011,49,Palma - Aeropuerto,2011
2012,61,Palma - Aeropuerto,2012
2013,58,Palma - Aeropuerto,2013
2014,81,Palma - Aeropuerto,2014
2015,77,Palma - Aeropuerto,2015
2016,74,Palma - Aeropuerto,2016
2017,76,Palma - Aeropuerto,2017
2018,83,Palma - Aeropuerto,2018
1985,26,Palma - Puerto,1985
1986,24,Palma - Puerto,1986
1987,39,Palma - Puerto,1987
1988,35,Palma - Puerto,1988
1989,36,Palma - Puerto,1989
1990,19,Palma - Puerto,1990
1991,46,Palma - Puerto,1991
1992,24,Palma - Puerto,1992
1993,23,Palma - Puerto,1993
1994,52,Palma - Puerto,1994
1995,33,Palma - Puerto,1995
1996,28,Palma - Puerto,1996
1997,33,Palma - Puerto,1997
1998,42,Palma - Puerto,1998
1999,47,Palma - Puerto,1999
2000,36,Palma - Puerto,2000
2001,36,Palma - Puerto,2001
2002,30,Palma - Puerto,2002
2003,71,Palma - Puerto,2003
2004,43,Palma - Puerto,2004
2005,42,Palma - Puerto,2005
2006,40,Palma - Puerto,2006
2007,25,Palma - Puerto,2007
2008,31,Palma - Puerto,2008
2009,36,Palma - Puerto,2009
2010,24,Palma - Puerto,2010
2011,21,Palma - Puerto,2011
2012,31,Palma - Puerto,2012
2013,23,Palma - Puerto,2013
2014,25,Palma - Puerto,2014
2015,62,Palma - Puerto,2015
2016,42,Palma - Puerto,2016
2017,55,Palma - Puerto,2017
2018,50,Palma - Puerto,2018
1953,9,Pamplona,1953
1954,37,Pamplona,1954
1955,37,Pamplona,1955
1956,35,Pamplona,1956
1957,30,Pamplona,1957
1958,55,Pamplona,1958
1959,35,Pamplona,1959
1960,29,Pamplona,1960
1961,33,Pamplona,1961
1962,52,Pamplona,1962
1963,18,Pamplona,1963
1964,24,Pamplona,1964
1965,27,Pamplona,1965
1966,21,Pamplona,1966
1967,27,Pamplona,1967
1968,9,Pamplona,1968
1969,6,Pamplona,1969
1970,22,Pamplona,1970
1971,29,Pamplona,1971
1972,16,Pamplona,1972
1973,28,Pamplona,1973
1974,18,Pamplona,1974
1975,28,Pamplona,1975
1976,21,Pamplona,1976
1977,6,Pamplona,1977
1978,23,Pamplona,1978
1979,13,Pamplona,1979
1980,28,Pamplona,1980
1981,22,Pamplona,1981
1982,21,Pamplona,1982
1983,34,Pamplona,1983
1984,24,Pamplona,1984
1985,35,Pamplona,1985
1986,29,Pamplona,1986
1987,33,Pamplona,1987
1988,25,Pamplona,1988
1989,24,Pamplona,1989
1990,34,Pamplona,1990
1991,38,Pamplona,1991
1992,30,Pamplona,1992
1993,25,Pamplona,1993
1994,24,Pamplona,1994
1995,30,Pamplona,1995
1996,27,Pamplona,1996
1997,24,Pamplona,1997
1998,30,Pamplona,1998
1999,23,Pamplona,1999
2000,46,Pamplona,2000
2001,32,Pamplona,2001
2002,28,Pamplona,2002
2003,55,Pamplona,2003
2004,42,Pamplona,2004
2005,41,Pamplona,2005
2006,39,Pamplona,2006
2007,23,Pamplona,2007
2008,23,Pamplona,2008
2009,41,Pamplona,2009
2010,26,Pamplona,2010
2011,33,Pamplona,2011
2012,43,Pamplona,2012
2013,40,Pamplona,2013
2014,21,Pamplona,2014
2015,40,Pamplona,2015
2016,39,Pamplona,2016
2017,41,Pamplona,2017
2018,40,Pamplona,2018
1975,24,Pamplona Aeropuerto,1975
1976,14,Pamplona Aeropuerto,1976
1977,8,Pamplona Aeropuerto,1977
1978,27,Pamplona Aeropuerto,1978
1979,18,Pamplona Aeropuerto,1979
1980,35,Pamplona Aeropuerto,1980
1981,26,Pamplona Aeropuerto,1981
1982,27,Pamplona Aeropuerto,1982
1983,39,Pamplona Aeropuerto,1983
1984,28,Pamplona Aeropuerto,1984
1985,45,Pamplona Aeropuerto,1985
1986,37,Pamplona Aeropuerto,1986
1987,35,Pamplona Aeropuerto,1987
1988,29,Pamplona Aeropuerto,1988
1989,32,Pamplona Aeropuerto,1989
1990,33,Pamplona Aeropuerto,1990
1991,42,Pamplona Aeropuerto,1991
1992,30,Pamplona Aeropuerto,1992
1993,29,Pamplona Aeropuerto,1993
1994,47,Pamplona Aeropuerto,1994
1995,30,Pamplona Aeropuerto,1995
1996,30,Pamplona Aeropuerto,1996
1997,25,Pamplona Aeropuerto,1997
1998,32,Pamplona Aeropuerto,1998
1999,29,Pamplona Aeropuerto,1999
2000,47,Pamplona Aeropuerto,2000
2001,34,Pamplona Aeropuerto,2001
2002,29,Pamplona Aeropuerto,2002
2003,52,Pamplona Aeropuerto,2003
2004,43,Pamplona Aeropuerto,2004
2005,38,Pamplona Aeropuerto,2005
2006,42,Pamplona Aeropuerto,2006
2007,29,Pamplona Aeropuerto,2007
2008,33,Pamplona Aeropuerto,2008
2009,51,Pamplona Aeropuerto,2009
2010,40,Pamplona Aeropuerto,2010
2011,48,Pamplona Aeropuerto,2011
2012,54,Pamplona Aeropuerto,2012
2013,46,Pamplona Aeropuerto,2013
2014,28,Pamplona Aeropuerto,2014
2015,46,Pamplona Aeropuerto,2015
2016,42,Pamplona Aeropuerto,2016
2017,45,Pamplona Aeropuerto,2017
2018,51,Pamplona Aeropuerto,2018
1951,30,Ponferrada,1951
1952,30,Ponferrada,1952
1953,41,Ponferrada,1953
1954,32,Ponferrada,1954
1955,43,Ponferrada,1955
1956,24,Ponferrada,1956
1957,36,Ponferrada,1957
1958,28,Ponferrada,1958
1959,28,Ponferrada,1959
1960,33,Ponferrada,1960
1961,48,Ponferrada,1961
1962,46,Ponferrada,1962
1963,28,Ponferrada,1963
1964,51,Ponferrada,1964
1965,37,Ponferrada,1965
1966,31,Ponferrada,1966
1967,40,Ponferrada,1967
1968,31,Ponferrada,1968
1969,34,Ponferrada,1969
1970,35,Ponferrada,1970
1971,19,Ponferrada,1971
1972,22,Ponferrada,1972
1973,37,Ponferrada,1973
1974,34,Ponferrada,1974
1975,33,Ponferrada,1975
1976,40,Ponferrada,1976
1977,16,Ponferrada,1977
1978,31,Ponferrada,1978
1979,40,Ponferrada,1979
1980,30,Ponferrada,1980
1981,38,Ponferrada,1981
1982,39,Ponferrada,1982
1983,25,Ponferrada,1983
1984,32,Ponferrada,1984
1985,42,Ponferrada,1985
1986,39,Ponferrada,1986
1987,48,Ponferrada,1987
1988,27,Ponferrada,1988
1989,46,Ponferrada,1989
1990,39,Ponferrada,1990
1991,48,Ponferrada,1991
1992,31,Ponferrada,1992
1993,37,Ponferrada,1993
1994,50,Ponferrada,1994
1995,44,Ponferrada,1995
1996,39,Ponferrada,1996
1997,37,Ponferrada,1997
1998,55,Ponferrada,1998
1999,35,Ponferrada,1999
2000,39,Ponferrada,2000
2001,41,Ponferrada,2001
2002,35,Ponferrada,2002
2003,57,Ponferrada,2003
2004,39,Ponferrada,2004
2005,61,Ponferrada,2005
2006,57,Ponferrada,2006
2007,36,Ponferrada,2007
2008,33,Ponferrada,2008
2009,48,Ponferrada,2009
2010,63,Ponferrada,2010
2011,40,Ponferrada,2011
2012,37,Ponferrada,2012
2013,59,Ponferrada,2013
2014,31,Ponferrada,2014
2015,58,Ponferrada,2015
2016,64,Ponferrada,2016
2017,56,Ponferrada,2017
2018,60,Ponferrada,2018
1989,26,Porreres,1989
1990,7,Porreres,1990
1991,56,Porreres,1991
1992,50,Porreres,1992
1993,50,Porreres,1993
1994,74,Porreres,1994
1995,49,Porreres,1995
1996,46,Porreres,1996
1997,56,Porreres,1997
1998,61,Porreres,1998
1999,73,Porreres,1999
2000,62,Porreres,2000
2001,64,Porreres,2001
2002,57,Porreres,2002
2003,83,Porreres,2003
2004,66,Porreres,2004
2005,67,Porreres,2005
